gene,Length,gfp_ml,label,cterm,n_tm
NrfD,319,493.644626970721,0,no,-
NrfE,553,421.197552083333,0,no,-
NuoA,148,838.982039473684,0,no,-
NuoH,326,6.31609375000001,0,out,8
NuoJ,185,4922.22789473684,1,in,5
NuoK,101,3896.2575,1,in,3
NuoL,614,5.28145833333333,0,out,16
NuoN,426,10.4561979166667,0,out,12
NupC,401,6.17374725877193,0,out,8
NupG,419,2972.96677357456,1,in,12
OppB,307,3442.30616976351,1,in,6
OppC,303,4922.70879222973,1,in,6
PanF,484,4807.14407894737,1,in,13
PgpA,173,104.764934210526,0,out,3
PgpB,255,5478.94148026316,1,in,6
PgsA,183,2510.92493421053,0,in,4
PheP,459,10183.0176942568,1,in,12
PhnE,277,7.57829221491228,0,no,-
PhoR,432,8828.0,1,in,2
PitA,500,42.4631716008772,0,out,10
PitB,500,173.424228603604,0,out,10
PntA,511,3800.32126644737,1,in,5
PntB,463,2703.12393158784,1,in,9
PnuC,240,7039.61903508772,1,in,7
PotB,276,1861.7658004386,0,in,6
PotE,440,8122.31848817568,1,in,12
PppA,270,483.445847039474,0,out,6
PqiA,418,1696.51838815789,0,in,8
ProP,501,6621.21429054054,1,in,12
ProW,355,1750.56644736842,0,in,6
ProY,458,5362.33026323198,1,in,12
PstA,297,994.662894736842,0,no,-
PstC,320,4279.8581981982,1,in,6
PutP,503,2529.87621162281,0,in,12
RarD,297,12297.2975647523,1,in,9
Rbn,291,4089.0,1,in,6
RbsC,322,4089.81243524775,1,in,8
RcsC,934,43.5679605263158,0,no,-
RfaL,420,2939.83550164474,1,in,12
RfbX,416,2503.63099506579,0,in,10
Rfc,389,1150.0,0,no,-
Rfe,368,5120.77927631579,1,in,11
RffT,451,579.474567849099,0,no,-
RhaT,345,15.9093637387387,0,out,10
RseC,160,7284.02184210526,1,in,2
RstB,434,5323.34052224099,1,in,2
Rtn,519,1160.16855537281,0,in,2
SapB,322,1119.62463823198,0,in,6
SapC,297,9785.68855152027,1,in,5
SbmA,407,5641.41636787281,1,in,8
SecE,128,484.988881578947,0,out,3
SecF,324,5720.2575,1,in,6
SecG,111,6.31144736842106,0,out,3
SecY,444,3573.54940789474,1,in,10
SgaT,485,155.181147240991,0,no,-
SgcC,438,57.2038898026316,0,no,-
ShiA,439,676.619210526316,0,in,12
SieB,163,0.22717105263157902,0,no,-
SohB,350,18300.1460191441,1,in,1
SugE,106,530.337236842105,0,out,4
Tap,534,1684.82185307018,0,in,2
Tar,554,4378.68137609649,1,in,2
TatC,259,2046.26052631579,0,in,6
TehA,331,3734.73496762387,1,in,8
ThiP,537,24.0,0,no,-
TnaB,416,157.908092105263,0,out,11
TolQ,231,2745.77368421053,1,in,3
TreB,474,3036.76096491228,1,in,10
TrkG,486,1886.97653012387,0,in,10
TyrP,404,114.618486842105,0,out,11
UbiA,291,371.858609234234,0,out,7
UgpA,296,3773.24300112613,1,in,6
UhpB,501,1559.18671311937,0,no,-
UhpC,440,2970.21490709459,1,in,12
UhpT,464,13517.3679335586,1,in,12
UidB,458,3161.08376548423,1,in,12
UraA,430,605.873248355263,0,in,12
UspB,112,39.0279605263158,0,out,2
WcaD,406,99.2122697368421,0,no,-
WcaJ,465,3165.43537302928,1,in,6
Wzc,721,2086.93921052632,0,in,2
WzxC,493,4050.52370213964,1,in,12
WzxE,417,5910.77774671053,1,in,12
WzzE,349,2106.4817919482,0,in,2
XapB,419,4611.59394736842,1,in,12
XasA,512,7482.54592105263,1,in,12
XylE,492,6514.51561129386,1,in,12
XylH,394,6749.96690241228,1,in,10
YaaH,189,1390.14394736842,0,in,6
YaaJ,477,325.935703828829,0,no,-
YaaU,444,2796.18457236842,1,in,12
YabI,255,292.59977247807,0,out,5
YabM,393,6343.84907894737,1,in,12
YadH,257,4923.03771929825,1,in,6
YadQ,474,2346.47184210526,0,in,10
YadS,208,2887.25532894737,1,in,7
YaeE,218,7498.75757675439,1,in,5
YaeL,451,12.5007894736842,0,no,-
YafU,113,6552.18236842105,1,in,2
YahC,166,2265.51894736842,0,in,5
YaiY,103,3708.68322368421,1,in,2
YajR,457,7259.62378519144,1,in,12
YbaL,559,5224.82523026316,1,in,11
YbaN,126,3039.70157894737,1,in,4
YbaT,431,7459.77618421053,1,in,12
YbbJ,152,6781.09598684211,1,in,3
YbbM,260,1305.27236842105,0,in,7
YbbW,485,6980.68803913288,1,in,12
YbbY,434,3906.03310529279,1,in,11
YbcI,174,2565.84276315789,0,in,4
YbcZ,481,8596.89394425676,1,in,2
YbdA,417,7003.28671052632,1,in,11
YbfB,109,305.717565789474,0,no,-
YbgH,494,6753.79484375,1,in,14
YbhI,478,65.8248903508772,0,out,15
YbhL,235,8566.73112390351,1,in,7
YbhN,319,6728.26253378378,1,in,8
YbhQ,137,5799.87973684211,1,in,4
YbhR,369,3825.54768640351,1,in,6
YbhS,378,2343.33423245614,0,in,6
YbiF,296,15389.4162288851,1,in,10
YbiP,528,402.248574561404,0,out,4
YbjE,300,115.572761824324,0,no,-
YbjG,199,5962.89414473684,1,in,5
YbjJ,403,3933.59985197368,1,in,12
YbjL,562,34.5141639254386,0,no,-
YbjM,126,2687.12421052632,1,in,4
YbjZ,649,167.104643640351,0,no,-
YcaD,383,9006.48263980263,1,in,12
YcaM,477,6797.05325168919,1,in,12
YcaP,231,1470.48496162281,0,no,-
YcbC,260,1219.41729989035,0,no,-
YcbM,264,7396.88092105263,1,in,6
YccC,727,3567.78965186403,1,in,2
YccF,149,3768.34289473684,1,in,3
YccM,358,74.1049563626126,0,out,5
YccS,721,3675.70271929825,1,in,9
YcdG,443,4804.81289473684,1,in,11
YcdN,277,689.154311951755,0,no,-
YcdP,138,4102.25980263158,1,in,2
YcdQ,442,3198.82383164414,1,in,6
YcdZ,164,6961.91026315789,1,in,5
YceJ,189,1444.62013157895,0,in,4
YceL,403,6446.97567982456,1,in,10
YcfU,400,754.689333881579,0,no,-
YcfZ,263,1863.43032894737,0,in,4
YchE,216,311.087905701754,0,out,6
YchM,560,3510.73164473684,1,in,11
YchQ,131,231.039013157895,0,out,4
YciB,180,7838.6165131579,1,in,5
YciC,248,5053.89766721491,1,in,6
YciS,103,7935.74822368421,1,in,2
YcjF,354,21415.959683277,1,in,2
YcjO,294,1237.22453265766,0,in,6
YcjP,281,3985.06677631579,1,in,6
YdaN,328,4160.63677083333,1,in,2
YdcO,392,2871.33598958333,1,in,11
YdcU,314,4464.9541089527,1,in,8
YdcV,265,3144.50891173246,1,in,6
YdcZ,150,885.617894736842,0,in,5
YddA,562,2797.46629934211,1,in,4
YddQ,299,3435.46394736842,1,in,5
YddR,341,5679.69257038288,1,in,6
YdeA,397,7048.57185032895,1,in,12
YdeD,300,9711.22926942568,1,in,10
YdeE,396,1138.44822094298,0,no,-
YdeY,343,3169.13807839912,1,in,8
YdeZ,331,7099.57053913288,1,in,8
YdfJ,428,2494.95184210526,0,in,9
YdgC,112,2078.16263157895,0,out,4
YdgE,110,266.247828947368,0,out,4
YdgF,122,1541.68145,0,in,4
YdgI,461,203.440364583333,0,out,13
YdgK,147,4557.88434210526,1,in,4
YdgL,194,20.3865789473684,0,out,6
YdgQ,232,5228.67877467105,1,in,5
YdgR,501,3923.46473684211,1,in,14
YdhC,404,9642.26231085526,1,in,12
YdhK,671,1703.49876096491,0,no,-
YdhP,390,7042.28373355263,1,in,12
YdiK,371,1209.51967105263,0,in,8
YdiM,405,4877.46005756579,1,in,12
YdiN,424,6685.42288377193,1,in,12
YdjE,453,4078.50496621622,1,in,12
YdjN,464,1916.66194538288,0,in,9
YdjX,237,15.3587280701754,0,in,6
YdjZ,236,6695.46536732456,1,in,5
YeaI,492,6320.61829532658,1,in,8
YeaL,149,71.472302631579,0,no,-
YeaN,394,2573.33030427632,0,in,12
YeaS,213,774.691644736842,0,in,5
YebE,220,10835.2250657895,1,in,1
YebN,189,66.2498026315789,0,out,5
YebQ,458,1535.835,0,no,-
YebZ,291,73.0,0,out,8
YecN,132,28.9334868421053,0,out,3
YecS,223,1733.79307017544,0,in,3
YedA,307,6985.23300394144,1,in,10
YedE,402,3366.38790296053,1,in,10
YedI,306,6613.73706221847,1,in,5
YedQ,565,93.3097779605263,0,in,2
YedR,122,749.99875,0,in,2
YedV,453,8138.98995213964,1,in,2
YedZ,212,7128.59559210526,1,in,6
YeeA,353,2840.82940737613,1,in,6
YeeE,353,4977.51531953829,1,in,9
YeeF,453,11998.4169481982,1,in,12
YeeR,511,2861.84246710526,1,in,6
YegB,472,7784.43466497748,1,in,14
YegN,1041,627.296883223684,0,in,11
YegO,1026,783.467763157895,0,in,10
YegT,426,5586.94998903509,1,in,12
YehU,562,6660.38398574561,1,in,6
YehW,244,1490.17941885965,0,in,6
YehY,386,1598.7689939693,0,in,10
YeiB,386,522.000871710526,0,no,-
YeiH,350,135.797949042793,0,out,9
YeiJ,417,64.9192105263158,0,out,8
YeiO,394,113.910027412281,0,in,12
YeiU,238,8319.80559758772,1,in,4
YejB,365,4880.96929276316,1,in,6
YejE,342,4173.95003519144,1,in,6
YfaV,430,4389.33772752193,1,in,12
YfbF,323,9627.34212837838,1,in,2
YfbI,551,180.543245614035,0,no,-
YfbJ,129,1009.29684210526,0,in,4
YfbS,611,18.7879166666667,0,out,10
YfbW,112,4.08039473684211,0,out,3
YfcA,270,924.612319078947,0,out,7
YfcJ,393,5948.32043037281,1,in,12
YfdC,311,5982.12002252252,1,in,6
YfdG,121,10813.7774342105,1,in,4
YfdH,307,14280.2851449887,1,in,2
YfdI,444,776.508420608108,0,no,-
YfdV,315,655.907180461712,0,no,-
YfeH,333,324.953789414414,0,no,-
YfeO,419,629.014043311403,0,no,-
YfeP,413,5.02942708333334,0,out,11
YfeV,475,9300.37679335586,1,in,10
YfeZ,150,3986.33927631579,1,in,4
YfgF,748,2311.18323190789,0,in,9
YfhK,476,4083.52217105263,1,in,2
YfiK,196,434.252697368421,0,out,6
YfiN,409,513.66149122807,0,in,2
YfjD,429,11115.0,1,in,4
YfjV,339,16.4694608671171,0,out,8
YfjW,568,800.821949013158,0,no,-
YgaH,112,297.308355263158,0,no,-
YgaP,175,8461.68348684211,1,in,2
YgaY,393,171.835394736842,0,in,10
YgaZ,246,3382.64242598684,1,in,6
YgbE,108,2.40901315789474,0,out,3
YgbN,455,99.4381003289474,0,out,10
YgcS,446,6562.40020411036,1,in,12
YgcZ,451,11841.4676703266,1,in,12
YgdD,132,2932.38631578947,1,in,4
YgeD,398,6849.88577576754,1,in,10
YgfO,467,6758.64831414474,1,in,12
YgfQ,456,2.36172438063063,0,out,11
YgfU,483,1524.04631615991,0,in,12
YggA,212,160.12242872807,0,out,6
YggB,287,5473.02621162281,1,in,3
YghB,220,4149.38032072368,1,in,4
YghK,561,79.4097861842105,0,out,13
YghQ,356,30.526509009009,0,out,6
YgiE,258,599.227132675439,0,no,-
YgiH,206,9336.68105263158,1,in,5
YgiY,450,5973.60712978604,1,in,2
YgiZ,111,79.5478289473684,0,out,3
YgjE,488,267.577771677928,0,out,13
YgjI,478,7256.49783783784,1,in,12
YgjT,322,8177.99709600225,1,in,9
YgjU,415,4722.94770833333,1,in,8
YgjV,184,3572.48618421053,1,in,5
YhaH,122,5832.36611842105,1,in,3
YhaI,119,5093.77953947368,1,in,3
YhaO,426,12.0322368421053,0,out,11
YhaU,445,10291.9352878289,1,in,11
YhbE,322,11534.7130869932,1,in,10
YhbX,542,281.297338267544,0,out,5
YhcL,456,7.80670748873874,0,out,12
YhcP,656,862.118059210526,0,in,10
YhdY,368,772.254783442982,0,in,8
YhfK,697,16.6430592105263,0,no,-
YhfM,446,74.5969078947369,0,no,-
YhfT,435,167.345670045045,0,no,-
YhgN,198,105.436578947368,0,out,6
YhhJ,376,999.759210526316,0,in,5
YhhN,209,351.276170504386,0,no,-
YhhQ,222,8565.60225054825,1,in,6
YhhS,406,5339.38407894737,1,in,12
YhhT,350,1686.84526041667,0,in,8
YhiD,216,307.053511513158,0,no,-
YhiH,912,591.371291118421,0,in,5
YhiM,365,2961.12082066441,1,in,10
YhiP,490,6945.94379504504,1,in,14
YhiV,1038,3310.63100328947,1,in,11
YhjD,338,8838.6085008446,1,in,6
YhjE,441,10390.0,1,in,10
YhjK,652,33.9898848684211,0,in,3
YhjN,780,1038.0,0,in,2
YhjX,403,5768.16875,1,in,12
YiaA,146,2615.80881578947,0,in,4
YiaB,114,2899.6825,1,in,4
YiaD,220,2550.57063322368,0,out,3
YiaH,332,3138.63888795045,1,in,10
YiaM,158,5139.40828947368,1,in,4
YiaW,108,960.192302631579,0,in,2
YibH,379,16.0703125,0,out,2
YicG,206,1705.72671600877,0,in,7
YicJ,461,8507.98368524775,1,in,11
YicK,395,3183.85103070176,1,in,12
YicL,308,7503.24978744369,1,in,10
YicM,413,7199.68522752193,1,in,12
YicO,445,6.46038006756757,0,out,13
YidE,554,8.79833333333334,0,no,-
YidG,121,3.65684210526316,0,out,3
YidH,116,26.678552631579,0,out,3
YidK,572,7468.3118256579,1,in,15
YidY,392,3377.27910361842,1,in,12
YieG,446,5.13197094298246,0,out,13
YieI,156,2722.48111842105,1,in,4
YieO,476,3998.14248170045,1,in,14
YifK,462,3965.69572368421,1,in,12
YigF,127,798.420789473684,0,no,-
YigG,139,2126.51217105263,0,in,4
YigJ,207,1340.63007949561,0,in,5
YigK,207,2763.03692982456,1,no,-
YihG,311,9395.98479588964,1,in,2
YihN,422,8537.69558662281,1,in,12
YihO,486,76.2548711622807,0,no,-
YihP,462,3245.99472587719,1,in,11
YiiP,301,9904.85914414415,1,in,6
YiiR,147,324.080460526316,0,no,-
YijD,120,1496.21592105263,0,in,4
YijE,302,10654.0572368421,1,in,10
YjbB,544,420.875065789474,0,no,-
YjcC,529,222.119111842105,0,in,2
YjcE,550,556.572900219298,0,no,-
YjcG,550,6948.24782620614,1,in,13
YjcH,105,4812.68717105263,1,in,2
YjdB,548,421.024114583333,0,no,-
YjdE,446,3937.64057432432,1,in,11
YjdF,210,895.914106359649,0,in,6
YjdL,486,8528.91321368243,1,in,14
YjeH,419,4467.11796052632,1,in,12
YjeO,105,59.8686842105263,0,out,3
YjfF,332,4744.10041244369,1,in,8
YjfL,133,296.910065789474,0,out,4
YjgN,399,2372.58462445175,0,in,8
YjgP,367,2625.71659813597,1,in,6
YjgQ,361,2952.42946649775,1,in,6
YjiH,228,892.109917763158,0,no,-
YjiK,324,35.5658634868421,0,no,-
YjiN,427,236.744174890351,0,no,-
YjiO,411,3047.0,1,in,12
YjiY,717,1579.26480263158,0,in,16
YjjB,109,698.755644188597,0,no,-
YjjL,454,4665.57245,1,in,10
YkgH,223,758.245978618421,0,no,-
YlaB,519,950.215460526316,0,in,2
YlaC,157,8451.50592105263,1,in,2
YliC,307,5962.38569679054,1,in,6
YliE,783,1705.6435444079,0,in,2
YliF,443,399.453947368421,0,in,2
YmcD,102,533.894868421053,0,out,1
YmdD,386,1098.7480564693,0,no,-
YmfA,154,866.894736842105,0,in,2
YmfE,235,511.461688596491,0,no,-
YnaI,344,2526.69525337838,0,in,5
YnbA,202,1477.45416118421,0,in,5
YnbB,299,289.499144736842,0,out,8
YnbD,431,271.621666666667,0,no,-
YneE,305,209.363133445946,0,no,-
YneF,316,250.601359797297,0,in,3
YnfA,109,624.579407894737,0,out,4
YnfH,285,58.8725246710526,0,out,8
YnfJ,439,724.610860078829,0,in,9
YnfM,418,7951.0745504386,1,in,12
YniB,179,75.7659868421053,0,no,-
YnjC,512,734.172154605263,0,in,12
YnjF,207,3393.22414473684,1,in,5
YnjI,347,2469.49739442568,0,in,2
YoaE,519,10069.6275657895,1,in,7
YobD,153,7556.50769736842,1,in,2
YodB,177,2956.29032894737,1,in,4
YohC,196,1116.08717105263,0,out,5
YohD,193,7047.07203947369,1,in,4
YohJ,133,1384.81697368421,0,out,4
YohM,275,344.297716557018,0,out,6
YpdA,566,4263.43875274123,1,in,6
YpdG,416,8047.0,1,in,10
YphA,141,2155.10710526316,0,in,4
YphD,333,1193.24633868243,0,in,9
YpjD,264,952.867138157895,0,out,8
YqaA,143,31.0915131578947,0,out,4
YqcE,426,10658.6800301535,1,in,12
YqeG,410,5.205,0,out,10
YqfA,220,61.6593146929825,0,out,7
YqgA,236,224.970109649123,0,no,-
YqhA,165,2768.50421052632,1,no,-
YqiJ,210,3575.98562225877,1,in,3
YqiK,554,10844.6207291667,1,in,1
YqjA,221,5216.06175438597,1,in,6
YqjE,135,6712.63593475877,1,in,2
YqjF,131,3271.4604495614,1,in,4
YraQ,347,65.2269270833334,0,no,-
YrbE,261,365.757028508772,0,out,5
YrbG,326,11.2892105263158,0,out,9
YrdE,130,7.5,0,in,4
YrfF,712,2541.40582785088,0,in,5
YtfF,325,12627.8413949887,1,in,10
YtfL,448,3162.12434210526,1,in,4
YtfT,342,6483.33829814189,1,in,10
ZntA,733,5574.00797149123,1,in,6
ZnuB,262,2398.09638157895,0,in,7
