accession,source,action,p_purify,wrap_score,wrap_amenable,levers,why,detergent_extract,detergent_polish,detergent_rescue,detergent_avoid,detergent_why
NYCOMPS-GO.9752,tt_expressed_not_purified,redesign,0.5169,0.15,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.8679,tt_expressed_not_purified,wrap_rescue,0.4572,0.55,1,trim a long extramembrane loop,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.13780,tt_expressed_not_purified,standard,0.5616,0.75,1,trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.19463,tt_expressed_not_purified,wrap_rescue,0.5406,0.75,1,trim a long extramembrane loop,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.5165,tt_expressed_not_purified,wrap_rescue,0.5096,0.75,1,,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.938,tt_expressed_not_purified,deprioritize,0.4663,0.35,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.2183,tt_expressed_not_purified,standard,0.612,0.35,0,,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.2985,tt_expressed_not_purified,standard,0.6398,0.15,0,trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.8733,tt_expressed_not_purified,wrap_rescue,0.4291,0.95,1,,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.13485,tt_expressed_not_purified,wrap_rescue,0.5166,0.75,1,trim a long extramembrane loop,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.5259,tt_expressed_not_purified,deprioritize,0.4957,0.35,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.5092,tt_expressed_not_purified,redesign,0.4458,0.15,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
CSMP-1052C,tt_expressed_not_purified,redesign,0.5279,0.0,0,shorten or split the construct; trim a long extramembrane loop,shorten or split the construct; trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.19322,tt_expressed_not_purified,redesign,0.3643,0.15,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.4950,tt_expressed_not_purified,redesign,0.4044,0.35,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPSBC-Tok1pSm,tt_expressed_not_purified,redesign,0.4999,0.05,0,drop sequons or use a prokaryotic host; reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,drop sequons or use a prokaryotic host; reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.10392,tt_expressed_not_purified,wrap_rescue,0.3703,0.95,1,add a fusion-able N- or C-terminus,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.2528,tt_expressed_not_purified,wrap_rescue,0.4407,0.75,1,trim a long extramembrane loop,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPP-GO.118708,tt_expressed_not_purified,redesign,0.4098,0.15,0,reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
TransportPDB-0013,tt_expressed_not_purified,redesign,0.4205,0.15,0,reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
CSMP-2254S,tt_expressed_not_purified,standard,0.6446,0.65,1,drop sequons or use a prokaryotic host; reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPSBC-Ste24pSm,tt_expressed_not_purified,redesign,0.5005,0.35,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.7742,tt_expressed_not_purified,wrap_rescue,0.5486,0.75,1,add a fusion-able N- or C-terminus,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.11298,tt_expressed_not_purified,redesign,0.4662,0.35,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.14876,tt_expressed_not_purified,redesign,0.5305,0.25,0,drop sequons or use a prokaryotic host; trim a long extramembrane loop,drop sequons or use a prokaryotic host; trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.12157,tt_expressed_not_purified,standard,0.5866,0.75,1,trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.9597,tt_expressed_not_purified,standard,0.6365,0.35,0,,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.14013,tt_expressed_not_purified,wrap_rescue,0.4579,0.75,1,add a fusion-able N- or C-terminus; trim a long extramembrane loop,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPSBC-Ers1pSm,tt_expressed_not_purified,standard,0.6148,0.35,0,trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.7734,tt_expressed_not_purified,wrap_rescue,0.4672,0.95,1,,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.13875,tt_expressed_not_purified,standard,0.6271,0.75,1,trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.6681,tt_expressed_not_purified,wrap_rescue,0.4464,0.75,1,trim a long extramembrane loop,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.3327,tt_expressed_not_purified,redesign,0.3755,0.15,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.7068,tt_expressed_not_purified,deprioritize,0.4487,0.35,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
ISFI-ISFI20,tt_expressed_not_purified,deprioritize,0.4684,0.15,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.13385,tt_expressed_not_purified,wrap_rescue,0.4921,0.75,1,trim a long extramembrane loop,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.2782,tt_expressed_not_purified,standard,0.5515,0.75,1,trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.6445,tt_expressed_not_purified,deprioritize,0.4968,0.35,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.2386,tt_expressed_not_purified,deprioritize,0.174,0.35,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.10540,tt_expressed_not_purified,redesign,0.2746,0.8,0,add a fusion-able N- or C-terminus,add a fusion-able N- or C-terminus,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.15185,tt_expressed_not_purified,redesign,0.2823,0.15,0,reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPP-GO.119931,tt_expressed_not_purified,deprioritize,0.3761,0.15,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPP-GO.124190,tt_expressed_not_purified,redesign,0.4448,0.15,0,reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.4081,tt_expressed_not_purified,wrap_rescue,0.4533,0.75,1,trim a long extramembrane loop,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPP-GO.120013,tt_expressed_not_purified,deprioritize,0.5277,0.15,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
